1723789710.447332 client started (81265): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1723789710.447480 on Darwin 23.5.0 Darwin Kernel Version 23.5.0: Wed May  1 20:14:38 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T6020
1723789710.447816 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1723789710.451720 sending message 105 to peer 0x120008000 (55 bytes)
1723789710.451722 sending message 105 to peer 0x120008000 (8 bytes)
1723789710.451725 sending message 105 to peer 0x120008000 (23 bytes)
1723789710.451728 sending message 105 to peer 0x120008000 (32 bytes)
1723789710.451731 sending message 105 to peer 0x120008000 (8886 bytes)
1723789710.451737 sending message 105 to peer 0x120008000 (266 bytes)
1723789710.451746 sending message 105 to peer 0x120008000 (61 bytes)
1723789710.451749 sending message 105 to peer 0x120008000 (16 bytes)
1723789710.451752 sending message 105 to peer 0x120008000 (35 bytes)
1723789710.451755 sending message 105 to peer 0x120008000 (70 bytes)
1723789710.451757 sending message 105 to peer 0x120008000 (34 bytes)
1723789710.451760 sending message 105 to peer 0x120008000 (11 bytes)
1723789710.451763 sending message 105 to peer 0x120008000 (815 bytes)
1723789710.451765 sending message 105 to peer 0x120008000 (39 bytes)
1723789710.451768 sending message 105 to peer 0x120008000 (15 bytes)
1723789710.451771 sending message 105 to peer 0x120008000 (8 bytes)
1723789710.451773 sending message 105 to peer 0x120008000 (66 bytes)
1723789710.451776 sending message 105 to peer 0x120008000 (19 bytes)
1723789710.451781 sending message 105 to peer 0x120008000 (18 bytes)
1723789710.451784 sending message 105 to peer 0x120008000 (26 bytes)
1723789710.451787 sending message 105 to peer 0x120008000 (53 bytes)
1723789710.451789 sending message 105 to peer 0x120008000 (57 bytes)
1723789710.451792 sending message 105 to peer 0x120008000 (43 bytes)
1723789710.451795 sending message 105 to peer 0x120008000 (14 bytes)
1723789710.451797 sending message 105 to peer 0x120008000 (62 bytes)
1723789710.451800 sending message 105 to peer 0x120008000 (17 bytes)
1723789710.451802 sending message 105 to peer 0x120008000 (20 bytes)
1723789710.451805 sending message 105 to peer 0x120008000 (16 bytes)
1723789710.451808 sending message 105 to peer 0x120008000 (14 bytes)
1723789710.451810 sending message 105 to peer 0x120008000 (19 bytes)
1723789710.451813 sending message 105 to peer 0x120008000 (37 bytes)
1723789710.451815 sending message 105 to peer 0x120008000 (26 bytes)
1723789710.451818 sending message 105 to peer 0x120008000 (49 bytes)
1723789710.451821 sending message 105 to peer 0x120008000 (30 bytes)
1723789710.451823 sending message 105 to peer 0x120008000 (85 bytes)
1723789710.451826 sending message 105 to peer 0x120008000 (40 bytes)
1723789710.451829 sending message 105 to peer 0x120008000 (38 bytes)
1723789710.451831 sending message 105 to peer 0x120008000 (67 bytes)
1723789710.451834 sending message 105 to peer 0x120008000 (23 bytes)
1723789710.451836 sending message 105 to peer 0x120008000 (15 bytes)
1723789710.451839 sending message 105 to peer 0x120008000 (29 bytes)
1723789710.451842 sending message 105 to peer 0x120008000 (28 bytes)
1723789710.451844 sending message 105 to peer 0x120008000 (21 bytes)
1723789710.451847 sending message 105 to peer 0x120008000 (21 bytes)
1723789710.451849 sending message 105 to peer 0x120008000 (69 bytes)
1723789710.451852 sending message 105 to peer 0x120008000 (20 bytes)
1723789710.451855 sending message 105 to peer 0x120008000 (73 bytes)
1723789710.451857 sending message 105 to peer 0x120008000 (71 bytes)
1723789710.451860 sending message 105 to peer 0x120008000 (76 bytes)
1723789710.451862 sending message 105 to peer 0x120008000 (61 bytes)
1723789710.451865 sending message 105 to peer 0x120008000 (26 bytes)
1723789710.451868 sending message 105 to peer 0x120008000 (20 bytes)
1723789710.451870 sending message 105 to peer 0x120008000 (21 bytes)
1723789710.451873 sending message 105 to peer 0x120008000 (25 bytes)
1723789710.451875 sending message 106 to peer 0x120008000 (0 bytes)
1723789710.451935 sending message 200 to peer 0x120008000 (4 bytes)
1723789710.451939 client loop enter
1723789710.455284 peer 0x120008000 message 207
1723789710.455290 sending message 208 to peer 0x120008000 (0 bytes)
1723789714.595684 peer 0x120008000 message 203
1723789714.595704 sending message 205 to peer 0x120008000 (0 bytes)
1723789714.595923 peer 0x120008000 message 204
1723789714.595932 client loop exit
